Post.id,Post.genre_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Post.public Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,7,いい結婚式って･･･どんな式？,,bridal,アラフォーの私。２０代後半の結婚ラッシュから始まって結婚式にはもう１０回以上は出席した記憶があります。結婚式って出席している間は楽しいんです。非日常のきらびやかな会場。おいしいお料理。新郎新婦やそのご両親の幸せそうな笑顔。でもはっきり言って出席するまでの準備や過程は面倒です。だって基本は家でゴロゴロ寝ていたい派なのにせっかくの貴重な休みに多くの時間と費用を割いて出席するんですから。なのでこれから結婚式をしようという方は招待する側（＝来ていただく側）としてそのことを忘れてはいけません。というのもまもなく３０歳の妹がようやく結婚することになったんです。･･･でどこでどんな結婚式をしたらいいかの相談を受けたんです。私からのアドバイスは以下の２点だけです。「場所は交通の便が良くてごはんがおいしいところ。」「自分たちにかかる費用（ドレス等）はケチってもゲストにかかる費用（食事引出物等）はケチるな。」これだけでいい結婚式だなーって思ってもらえる率がグンと高くなります。あくまで何件も結婚式に出席してきた私の個人的な感想ですが。今までに出席したプチ残念な結婚式。☆郊外のオシャレなレストラン。･･･ごはんはおいしかったけど行き帰りの交通の便が悪すぎる！（タクシーチケットか送迎バスを出すと随分印象が違うかもしれませんね。）☆名古屋のテレビ塔での（披露宴ではなく）結婚式。･･･塔の展望台だったので親族以外のゲストの座る場所がない！しかも柱だらけで全然新郎新婦が見えない！本人たちの思い出の場所らしいけど･･･自己満足感しか感じられなかった。☆真冬に外でフラワーシャワーブーケトス･･･寒すぎます。別に凝った演出がなくてもキャビアやフォアグラなんかの高級食材がなくてもゲストへの心遣いだけでいい結婚式はできますから。我が妹を含めこれから結婚式を挙げる方へのおばさんからのおせっかいアドバイスでした。,1,,二次会のプチギフト,http://momo-fuku.jp/,1,0
,7,やっぱりお金がかかります,,est,結婚式で大事なものといえばお金ですよね。景気が少しずつ回復してきているのでだんだんかかるお金が高くなってきたそうです。結婚式を挙げる人たちも気分が高揚しているのでどんどんお金を使う傾向にあるみたいですね。スマホ婚といったものもありますがそれをすると実際にはみんなにスマホ婚だとばれてしまうので使う人も限定されているみたいです。実際に結婚費用としては式場の予約に始まりウェディングドレスとか指輪の代金なども関わってくるので数百万円は必要になってきます。新婚旅行にも行きたいでしょうし新しい生活を始めるためにはお金もさらにかかってくるので自分たちで貯めておくことが必要になっています。よくご祝儀とかを充てにする人がいますがご祝儀は計算するまでに時間がかかります。まずは持ち出しであることを理解しておくべきです。それぞれの両親から援助してもらえるケースもありますがそれも限界があります。二人で200万円から300万円程度は用意しておいた方が無難です。ここだけは贅沢をしたいっていうところにお金をかけるためにも軍資金は多ければ多いほど良いです。また今は投資をして結婚資金を貯める女性も出てきているそうです。,1,,プチギフトの百福,http://momo-fuku.jp/,1,0
,7,結婚生活10年について思う事,,gift,結婚して10年が経ちましたが一言では語りつくせぬほど色々な事がありました。私の場合結婚するまでの付き合った期間が長かったので相手の事を知った気でいましたが同棲していた訳ではなかったのでいざ一緒に住んでみると色々と思うところはありました。やはり付き合っているのと結婚するのとでは何もかもが全く違うという事だけは言えると思います。妻が気性が荒かったというのは結婚してから知りましたし寝る時に歯ぎしりをするといった事も結婚してから知りました。でも悪い面ばかりではなくいい面と言うのもたくさんと知る事が出来たように思います。結婚前は部屋が汚く料理も全然だったのですがきちんと掃除もしてくれるようになりましたし料理も上手くなったように思います。ですが些細な事ですぐに夫婦喧嘩もしますしたまには一人になりたいと思う事もありますがそれでも一緒に居てるのは愛情もありますが情といったものも出てきたからかなと思ったりもします。それにもうすぐ10歳になる子供がいるのですが子供の存在は大きいですね。子供がいるからどんなに喧嘩しても仲直りしてやっていこうと思えるような気がします。これから先も結婚生活は続いて行きますが楽しく仲良く生きて行けたら良いなと思っています。,1,,二次会にはプチギフト,http://momo-fuku.jp/,1,0
,7,結婚式はどんなイメージ？,,,結婚式について誰でも子どもの頃から今までに一度くらいは考えたり想像したことがあるのではないでしょうか。たとえば綺麗でまっ白なウエディングドレスヴェールをかぶって誰かは分らないけれど大好きな男性とヴァージンロードを歩くなんていうシチュエーション。夢のようで本当に素敵ですね。友人の結婚式に招かれたりテレビのドキュメント番組やウエディング特集で見かけると次は自分もなんて思ったりして。さてそんなシチュエーションを妄想するのも楽しいですが一生に一度の大イベント実際はどんな風になるのかどうしたらそんな理想の結婚式を挙げられるのかという具体的なことは直面してみないとなかなか分らないものです。いざ直面すると何をどういう手順で行うのか招待客は何人か手作り感なのか都会的な雰囲気なのか会場はどうするのかいろんなことが降りかかってきます。結婚式は一大イベントですが実は同時にパートナーとの大きな共同作業なのです。参列しているだけでは分らなかった作業や打ち合わせなど何日もかけて準備することになります。まさかこんなにお金がかかるなんてなどということもあるかもしれませんがその間に今後の長い生活で必要な二人のセンスなど感覚のすり合わせなできる場面でもあります。,1,,プチギフトを即納で,http://momo-fuku.jp/,1,0
,7,憧れのウエディングドレス,,,女の子として生まれた以上誰しも幼い頃からウエディングドレスには多かれ少なかれ憧れを抱くものです。私は小さい頃に親戚のお姉さんの結婚式に出て依頼その憧れは更に大きく膨らみ結婚がしたいというよりウエディングドレスを着たいから結婚したいというくらいの逆転発送さえありました。結婚が決まった時には本当に嬉しくこれでいっぱいウエディングドレスが着れるんだー！と声を上げそうな程でした。その日からはウエディングに関する雑誌を読みあさり研究しました。また式場には何度も足を運びたくさんのドレスを試着させて頂きました。花嫁さんという事でスタッフさんも褒めてくださるのでますます調子に乗っている私を見て当時お世話になっていた会社の社長さんが声を掛けて下さり社員の皆さんが少しずつお金を出し合いなんとアメリカからウエディングドレスを取り寄せて下さいました。気に入るかどうかわからないけどそんなに嬉しそうにしているならレンタルではなくて自分の物として持っていなさいとニコニコしてプレゼントしてくださいました。私のドレス好きを見て笑いものにする事もなくアメリカからわざわざ取り寄せてくださったウエディングドレスは今見ても心に染みます。ただの憧れだったドレスが人の優しさを伝えてくれたドレスとして今も目につくところに持っていることが出来本当に幸せな私です。あ旦那様の話題が全然出てこなかった汗,1,,即納でプチギフトをお探しなら,http://momo-fuku.jp/,0,0
,1,今さら後悔しても遅いけど,,datsumou,これまで何度となく友人の結婚式に出席してきましたが一つとても後悔する結婚式があります。と言うより結局行けなかったというか行かなかったというかつまりその場にはいなかったのです。気付くとすでに数年経ちますがそれは高校時代の無二の親友カップルの結婚式でした。行かなかった理由はまったく個人的な仕事の都合いやその日に敢て仕事を入れてしまったというのが本当のところです。今思えばなぜそんなことになったんだろうと言う気がするのですが丁度仕事で悩んでいた時期だったのです。別に彼らに何も関係のないのに何となく自分の仕事に対するストレスでテンションが上がらない感じの日々だったんですね。そんな時にかかってきた友人の電話彼はどうしても来てくれ！と言いました。帰省するとなると片道７時間は掛かる怠くて何とか断りたいなあと思っている私を何とか説得しようと彼は話し続けました。後日共通の仲間から良い結婚式だったよと聞いて少し複雑な気持ちでした。どうして行ってあげなかったのかなあ一生に一度なのに。もちろん今さら後悔しても仕方ないんですがもう一度そういう場で祝福してあげたいと思います。そんな私に今さらながら出来ることと言えばせめて幸せな家庭をと願うばかりです。,1,,二次会のプチギフト,http://momo-fuku.jp/,1,0
,1,結婚式,,shibou,自分の結婚式のことはあまり覚えていません。たくさんお色直しをしてしまいほとんど席についていることがなかったのが原因でしょうか。友達の結婚式特に最近はあまりたくさんのお色直しをする事がなくなってきたように感じています。花嫁さんも席に長くつき食事を食べている風景を目にします。ああ何だかこの方がいいなぁと最近のゆったり結婚披露宴を冷静に見ています。先日後輩の結婚式に行った時新郎さんのお友達がスピーチで泣き出しそれを見た新郎さんが号泣し少し呆れ顔の花嫁さんがハンカチを差し出しそれを見て両家の両親が号泣しているシーンがありました。何ともほのぼのとした良い披露宴で本当に幸せになってね！と心から願いました。結婚式には人柄がでますよね。最近本当にそう思います。個人の結婚とは言え家と家の結婚でもあり両家が初めて顔を合わせお酒を酌み交わすという素敵なセレモニーです。だから私が披露宴にお呼ばれする時はそのお友達に恥をかかす事がないように私の最大のおしゃれを心がけマナーを守りその宴を盛り上げ花を添えられるようにという事を心がけています。一人一人の心がけで一生の素敵な思い出にしてもらえればいいなぁと思う訳です。しかしいつ行っても結婚式は素敵です。,1,,プチギフトの百福,http://momo-fuku.jp/,1,0
,1,結婚式にどれほどお金をかけるか？,,supli,先日地方の親戚の結婚式に参加しました。とても豪華で約300人の出席者がいましたが親戚によるとこれでも規模は小さいほうだと言っていました。式も全体で5時間位あり地元のサークルによる出し物やカラオケや主賓の挨拶などが途切れることなく続きます。正直疲れましたが全体を通して地元の仲間の人情と温かみに溢れていて都会にはない絆を感じました。また人生に一度だけの結婚式だから派手にみんなで祝ったほうが良いという親戚の言葉にも頷けました。一方で私の住む東京近辺の友達でそれほどまで大規模の結婚式を挙げる人はいません。一部の親族と本当に親しい友達だけで旅行を兼ねて海外で挙式したり貸し切りにしたおしゃれな家でオリジナルの結婚式を挙げる人が多いです。結婚式はしないという人も結構います。私もそうですがたった一日で終わってしまう結婚式にお金をつぎ込むよりも結婚後の生活を充実させたりおしゃれな家具を購入するほうにお金をつぎ込みたいと考えます。それはとても合理的な考え方だと思います。とても変わった友達がいてたった一日の結婚式の為に衣装を借りるよりも同じお金で新着のスーツを購入したほうが良いということでスーツで式を挙げていました。しかし結婚式の主役は花嫁ですから結局彼女の意向が優先されると思います。,1,,二次会にはプチギフト,http://momo-fuku.jp/,1,0
,32,ウェディングドレスの試着しています,wedding,,２月の結婚式に備えてウェディングドレスの試着をしています。ウェディングドレスは真冬でも長袖とかケープを考えなくてもいいみたいですね。プランナーの方に「アドレナリンが出るので花嫁様は寒くないみたいですよ。室内で暖房も効いてますし」と言われました。ドレスを着るなんてきっと一生に一回の機会です。和装からウェディングドレスにお色直しするだけでカラードレスの予定はないので白勝負です。真っ白よりも黄みがかった柔らかい白のほうが優しい感じかな？シルクのベージュがかった張りのある白も素敵かな？と見てるだけでテンションがあがります。友だちの中には式はあげない子もたくさんいるけれどやっぱりドレスは着て写真撮影だけでもするといい思い出になるんじゃないかな～。ドレスの形もプリンセスラインからマーメイドラインまでいろいろあって普段の服や憧れと違う形が意外に似合うなんてことも試着してみると発見しますね。先日はちょっと面白いことがありました。母と彼と私でドレスショップに行ったときのことです。ドレスを触るので白い手袋を貸してもらうのですが担当の方が私と母の分の手袋を持ってきてくれました。すると彼が「僕も彼女のドレスを選びたいので貸してください」と。担当の方は慌てて「失礼しました。ただ申し訳ありません男性の方はあまり積極的にドレスを選ぶ方がいないので男性用の手袋のご用意がないのです…」とおっしゃいました。結局タキシードのときに手に持つ男性用の手袋を貸してもらって彼もドレスを選ぶことができましたがちょっとレアケースなんだろうなあと母と笑ってしまいました。せっかくの特別な日のためだから素敵なドレスを選んで備えたいなと思っています。,1,,プチギフトを即納で,http://momo-fuku.jp/,1,0
,32,親友の結婚式で涙のワケ,,,先週末親友の結婚式に出席しました。２０代前半まではあまり泣くことのなかった私ですが歳のせいか最近では友人の結婚式の度に泣いてしまいます。今回結婚した友達とは３年前に知り合ったのですがその頃からずっと彼女は早く結婚したいと言い続けてきたので彼女のウェディングドレス姿を見た瞬間とても感動的で式が始まる前から彼女よりも私の方がウルウルしてしまいました。そしてその後も何度か涙する場面があったのですがその中でもすごく印象的だったのは彼女の両親のストーリーでした。彼女が中学生の頃事故でお父さんを亡くしたのですがそれまで両親はとっても仲が良かったそうです。そしてお父さんが亡くなった後もお母さんはどこか旅行に行く度にお父さん宛てのポストカードを毎回出しているほどお父さんの事を愛していて彼女もそういう夫婦になりたいとのことでした。彼女は晩婚と言われる歳での結婚ではありましたが私の周りの友人の中でも１，２位を争う位良い妻母になるんだろうな～となんとなくいつも感じていました。その理由は愛情たっぷりの両親に育てられたからだったんだなぁと妙に納得しこっちまで幸せをもらった結婚式でした。,1,,即納でプチギフトをお探しなら,http://momo-fuku.jp/,1,0
